SRA,BioProject,Strain,Genotype,Experiment,Condition,Post_induction,Replicates,P_aas,P_tesA,P_rpaA,P_kaiBC,P_rpaA_D53E,P_OX_plasmid,P_Subjective_dawn,P_Subjective_dusk,P_N (mg/L),P_np_kaiBC,P_p0050_kaiBC,P_rel,P_relA,P_relA_E335Q,P_Light (umol photons m-2 s-1),P_sigF,P_rpoD2,P_rpoD6,P_rpoD5,P_pAM2991-xylEAB,P_pAM2991-galP,P_pilB::Tn5,P_BG-11,P_CM,P_Biofilm,Project_tag,SRA_study_id,Ref_condition,Experiment_type,Project_replicates,Single_paired,RNASeq_samples_n,Data_loc,Data_link,Paper,Culture,Growth_Phase,Media,CO2 (%),Light (uE*m-2*sec-1),Temp (°C),Agitation (rpm),OD,pH,Notes,Time_delta,Condition_pi,Passed_Min_Reads,Passed_Global_Corr,passed_replicate_corr,passed_timeseries_corr,Overall_pass
SRR5031867,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,1h,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 01:00:00,clock_rescue_dark_1h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031868,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,2h,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 02:00:00,clock_rescue_dark_2h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031869,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,4h,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 04:00:00,clock_rescue_dark_4h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031870,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,8h,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 08:00:00,clock_rescue_dark_8h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031871,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,11.5h,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 11:30:00,clock_rescue_dark_11.5h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031872,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dawn,5m,,1,0,1,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:05:00,clock_rescue_dawn_5m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031873,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dawn,15m,,1,0,1,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:15:00,clock_rescue_dawn_15m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031874,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dawn,30m,,1,0,1,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:30:00,clock_rescue_dawn_30m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031875,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,0m,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:00:00,rpaA-_clock_rescue_dark_0m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031876,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,5m,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:05:00,rpaA-_clock_rescue_dark_5m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031877,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,15m,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:15:00,rpaA-_clock_rescue_dark_15m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031878,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,30m,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:30:00,rpaA-_clock_rescue_dark_30m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031879,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,1h,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 01:00:00,rpaA-_clock_rescue_dark_1h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031880,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,2h,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 02:00:00,rpaA-_clock_rescue_dark_2h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031881,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,4h,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 04:00:00,rpaA-_clock_rescue_dark_4h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031882,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,8h,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 08:00:00,rpaA-_clock_rescue_dark_8h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031883,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dark,11.5h,,1,0,0,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 11:30:00,rpaA-_clock_rescue_dark_11.5h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031884,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dawn,5m,,1,0,0,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:05:00,rpaA-_clock_rescue_dawn_5m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031885,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dawn,15m,,1,0,0,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:15:00,rpaA-_clock_rescue_dawn_15m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031886,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,rpaA- P0050_kaiBC,RNA-seq,rpaA-_clock_rescue_dawn,30m,,1,0,0,1,0,0,1,0,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:30:00,rpaA-_clock_rescue_dawn_30m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR6004392,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dawn,0m,1,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,wt_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004393,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dawn,0m,2,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,wt_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004394,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dusk,12h,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,wt_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004395,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dusk,12h,2,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,wt_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004396,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,rel-,RNA-seq,rel-_dawn,0m,1,1,0,1,1,0,0,1,0,0.16,1,0,0,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004397,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,rel-,RNA-seq,rel-_dawn,0m,2,1,0,1,1,0,0,1,0,0.16,1,0,0,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004398,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,rel-,RNA-seq,rel-_dusk,12h,1,1,0,1,1,0,0,0,1,0.16,1,0,0,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004399,PRJNA401742,Synechococcus elongatus PCC 7942 = FACHB-805,rel-,RNA-seq,rel-_dusk,12h,2,1,0,1,1,0,0,0,1,0.16,1,0,0,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117070,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117070&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004402,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relA+,RNA-seq,rel-_relA+_dawn,0m,1,1,0,1,1,0,0,1,0,0.16,1,0,0,1,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_relA+_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004403,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relA+,RNA-seq,rel-_relA+_dawn,0m,2,1,0,1,1,0,0,1,0,0.16,1,0,0,1,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_relA+_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004404,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relA+,RNA-seq,rel-_relA+_dusk,12h,1,1,0,1,1,0,0,0,1,0.16,1,0,0,1,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_relA+_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004405,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relA+,RNA-seq,rel-_relA+_dusk,12h,2,1,0,1,1,0,0,0,1,0.16,1,0,0,1,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_relA+_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004406,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relAE335Q,RNA-seq,rel-_relAE335Q_dawn,0m,1,1,0,1,1,0,0,1,0,0.16,1,0,0,0,1,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_relAE335Q_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004407,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relAE335Q,RNA-seq,rel-_relAE335Q_dawn,0m,2,1,0,1,1,0,0,1,0,0.16,1,0,0,0,1,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,rel-_relAE335Q_dawn_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004408,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relAE335Q,RNA-seq,rel-_relAE335Q_dusk,12h,1,1,0,1,1,0,0,0,1,0.16,1,0,0,0,1,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_relAE335Q_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6004409,PRJNA401777,Synechococcus elongatus PCC 7942 = FACHB-805,rel- relAE335Q,RNA-seq,rel-_relAE335Q_dusk,12h,2,1,0,1,1,0,0,0,1,0.16,1,0,0,0,1,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117071,wt_dawn_0m,Genetic_characterization,TRUE,S,8,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117071&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 12:00:00,rel-_relAE335Q_dusk_12h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026319,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,0m,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:00:00,wt_dark_0m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026320,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,5m,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:05:00,wt_dark_5m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026321,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,15m,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:15:00,wt_dark_15m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026322,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,30m,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 00:30:00,wt_dark_30m,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026323,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,1h,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 01:00:00,wt_dark_1h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026324,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,2h,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 02:00:00,wt_dark_2h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR6026325,PRJNA404081,Synechococcus elongatus PCC 7942 = FACHB-805,wt,RNA-seq,wt_dark,4h,1,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ppGpp,SRP117265,wt_dawn_0m,Genetic_characterization,TRUE,S,36,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP117265&o=acc_s%3Aa,https://doi.org/10.1016/j.celrep.2017.11.067,Batch,TimeSeries,BG-11,,40,30,,,,,0 days 04:00:00,wt_dark_4h,TRUE,TRUE,TRUE,FALSE,TRUE
