,gene_weight,product_accession,locus_tag_old,GeneID,start,end,strand,COG,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,P2TF_description,DeepTF_prediction,ENTRAF_hmm_name,iTAK_Detail,module
H6G84_RS13875,0.5633984998621332,WP_231621353.1,,,141166.0,141255.0,-,S,,,,,,,,,,,,,,,,,19
H6G84_RS00385,-0.0542387339580118,WP_011378491.1,Synpcc7942_2503,,69815.0,70780.0,+,C,"GO:0003674,GO:0003824,GO:0006725,GO:0006778,GO:0006779,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0015979,GO:0015994,GO:0015995,GO:0016491,GO:0016627,GO:0016628,GO:0016630,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",1.3.1.33,ko:K00218,"ko00860,ko01100,ko01110,map00860,map01100,map01110",-,"R03845,R06286",RC01008,"ko00000,ko00001,ko01000",-,-,iJN678.pcr,adh_short,,0.0,,,20
H6G84_RS00775,0.1127897223713765,WP_011378457.1,Synpcc7942_2425,,156614.0,157576.0,+,M,-,-,-,-,-,-,-,-,-,-,-,"NAD_binding_10,NmrA",,0.0,,,20
H6G84_RS00830,0.0967338280296805,WP_011244002.1,Synpcc7942_2414,,168625.0,169680.0,+,Q,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_25",,0.0,,,20
H6G84_RS01100,0.0692621619372726,WP_011378426.1,Synpcc7942_2362,sds,225521.0,226492.0,-,H,"GO:0003674,GO:0003824,GO:0005488,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0015979,GO:0016740,GO:0016765,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046872,GO:0071704,GO:1901576","2.5.1.84,2.5.1.85",ko:K05356,"ko00900,ko01110,map00900,map01110",-,"R07267,R09250,R09251",RC00279,"ko00000,ko00001,ko01000,ko01006",-,-,-,polyprenyl_synt,,0.0,,,20
H6G84_RS01250,0.0924778867182001,WP_011244080.1,Synpcc7942_2332,petD,255424.0,255906.0,-,C,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009512,GO:0009579,GO:0009767,GO:0009987,GO:0015979,GO:0016020,GO:0016021,GO:0016491,GO:0019684,GO:0022900,GO:0031224,GO:0032991,GO:0034357,GO:0042651,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045156,GO:0055114,GO:0070069,GO:0071944",-,ko:K02637,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,Cytochrom_B_C,,0.0,,,20
H6G84_RS01255,0.094774336039528,WP_011244081.1,Synpcc7942_2331,,256003.0,256650.0,-,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009512,GO:0009579,GO:0009987,GO:0015979,GO:0015980,GO:0016020,GO:0016021,GO:0016491,GO:0020037,GO:0022900,GO:0022904,GO:0031224,GO:0032991,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045158,GO:0045333,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0055114,GO:0070069,GO:0071944,GO:0097159,GO:1901363",-,ko:K02635,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,Cytochrome_B,,0.0,,,20
H6G84_RS01430,-0.1007873036118799,WP_011378395.1,Synpcc7942_2297,,286554.0,287747.0,+,F,"GO:0003674,GO:0003824,GO:0004801,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009987,GO:0016740,GO:0016744,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046496,GO:0046872,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564",2.2.1.2,ko:K00616,"ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007",R01827,"RC00439,RC00604","ko00000,ko00001,ko00002,ko01000",-,-,-,"EF-hand_5,TAL_FSA",,0.0,,,20
H6G84_RS02135,0.0699513016578368,WP_242021680.1,Synpcc7942_2161,,410739.0,411365.0,-,S,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_24,,0.0,,,20
H6G84_RS02140,0.0833061412714648,WP_011378346.1,Synpcc7942_2160,,411408.0,412562.0,-,E,-,"2.6.1.44,2.6.1.45,2.6.1.51",ko:K00830,"ko00250,ko00260,ko00630,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko04146,map00250,map00260,map00630,map00680,map01100,map01110,map01120,map01130,map01200,map04146","M00346,M00532","R00369,R00372,R00585,R00588","RC00006,RC00008,RC00018","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_5,,0.0,,,20
H6G84_RS02325,-0.1158122189234004,WP_011378330.1,Synpcc7942_2127,,447929.0,448108.0,-,S,-,-,-,-,-,-,-,-,-,-,-,NblA,,0.0,,,20
H6G84_RS02920,0.0551169011422294,WP_039755617.1,Synpcc7942_2010,psbV,575279.0,575782.0,+,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009521,GO:0009523,GO:0009579,GO:0009987,GO:0015979,GO:0015980,GO:0016020,GO:0016491,GO:0020037,GO:0022900,GO:0022904,GO:0032991,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045333,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0055114,GO:0071944,GO:0097159,GO:0098796,GO:1901363",-,ko:K02720,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Cytochrom_C550,,0.0,,,20
H6G84_RS03025,-0.0745528155053844,WP_199290577.1,Synpcc7942_1990,,593766.0,594410.0,+,S,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,UPF0016,,0.0,,,20
H6G84_RS03060,0.056246789605229,WP_011378266.1,Synpcc7942_1983,pds,600870.0,602294.0,-,E,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006720,GO:0006721,GO:0006950,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009635,GO:0009636,GO:0009987,GO:0016020,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016491,GO:0016705,GO:0042221,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044464,GO:0046148,GO:0050896,GO:0055114,GO:0071704,GO:0071944,GO:1901576",1.3.5.5,ko:K02293,"ko00906,ko01100,ko01110,map00906,map01100,map01110",M00097,"R04786,R04787,R07510,R09652,R09653,R09654","RC01214,RC01958,RC03092,RC03093","ko00000,ko00001,ko00002,ko01000",-,-,-,Amino_oxidase,,0.0,,,20
H6G84_RS03765,0.0586311432487425,WP_011244559.1,Synpcc7942_1845,,743396.0,743623.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,20
H6G84_RS04210,0.063201114895519,WP_011244645.1,Synpcc7942_1757,,830340.0,830531.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,20
H6G84_RS04885,-0.0556153579938697,WP_011377629.1,Synpcc7942_0573,,12932.0,13168.0,+,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS05000,0.2093404074075007,WP_011377620.1,Synpcc7942_0551,,34524.0,34895.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,20
H6G84_RS05950,-0.061312997198522,WP_155813899.1,,,211029.0,211166.0,+,S,,,,,,,,,,,,,,,,,20
H6G84_RS06150,0.065082705250315,WP_011243497.1,Synpcc7942_0328,,242567.0,244684.0,+,G,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0016829,GO:0018298,GO:0019538,GO:0030076,GO:0030089,GO:0032991,GO:0034357,GO:0036211,GO:0042651,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0055114,GO:0071704,GO:0098796,GO:1901564",-,ko:K02096,"ko00196,ko01100,map00196,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,"PBS_linker_poly,Phycobilisome",,0.0,,,20
H6G84_RS06160,0.0570036517911229,WP_011243499.1,Synpcc7942_0326,apcB,245592.0,246077.0,+,C,"GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0018298,GO:0019538,GO:0030076,GO:0030089,GO:0032991,GO:0034357,GO:0036211,GO:0042651,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0055114,GO:0071704,GO:0098796,GO:1901564",-,ko:K02093,"ko00196,ko01100,map00196,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Phycobilisome,,0.0,,,20
H6G84_RS06165,0.0611665906293526,WP_011243500.1,Synpcc7942_0325,,246169.0,246372.0,+,S,"GO:0005575,GO:0005622,GO:0005623,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0030076,GO:0030089,GO:0032991,GO:0034357,GO:0042651,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0098796",-,ko:K02094,"ko00196,ko01100,map00196,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,CpcD,,0.0,,,20
H6G84_RS06305,0.0555802177206334,WP_190528554.1,Synpcc7942_0297,ftsH3,271752.0,273602.0,-,O,"GO:0000166,GO:0003674,GO:0003824,GO:0004175,GO:0004176,GO:0004222,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009579,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0030554,GO:0031224,GO:0031323,GO:0031324,GO:0032553,GO:0032555,GO:0032559,GO:0034357,GO:0035639,GO:0036094,GO:0042548,GO:0042623,GO:0042651,GO:0043155,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1905156",-,ko:K03798,-,M00742,-,-,"ko00000,ko00002,ko01000,ko01002,ko03110",-,-,-,"AAA,FtsH_ext,Peptidase_M41",,0.0,,,20
H6G84_RS06320,0.0652200234382637,WP_011243530.1,Synpcc7942_0294,,277238.0,278071.0,-,S,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009521,GO:0009523,GO:0009579,GO:0009654,GO:0009987,GO:0010109,GO:0010207,GO:0010242,GO:0015979,GO:0016020,GO:0016043,GO:0016491,GO:0019222,GO:0019684,GO:0022607,GO:0030075,GO:0030096,GO:0031323,GO:0032991,GO:0034357,GO:0034622,GO:0042548,GO:0042549,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043467,GO:0043933,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0055114,GO:0065003,GO:0065007,GO:0071840,GO:0071944,GO:0098796,GO:0098797,GO:1902494,GO:1990204",-,ko:K02716,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,MSP,,0.0,,,20
H6G84_RS06505,0.073789463302895,WP_011243566.1,Synpcc7942_0259,,312659.0,312991.0,-,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS06535,-0.0849334017117832,WP_011377508.1,Synpcc7942_0253,,319836.0,320294.0,+,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS06575,-0.0751078065888938,WP_011243580.1,Synpcc7942_0245,gap,326236.0,327297.0,+,C,"GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019318,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0036094,GO:0042866,GO:0043436,GO:0043891,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0048037,GO:0050661,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576",1.2.1.12,ko:K00134,"ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010","M00001,M00002,M00003,M00165,M00166,M00308,M00552",R01061,RC00149,"ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,-,"Gp_dh_C,Gp_dh_N",,0.0,,,20
H6G84_RS06580,-0.0622788728289301,WP_011243581.1,Synpcc7942_0244,,327309.0,329843.0,+,G,-,2.4.1.1,ko:K00688,"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",-,R02111,-,"ko00000,ko00001,ko01000",-,GT35,-,Phosphorylase,,0.0,,,20
H6G84_RS06585,-0.0627447502722521,WP_011243582.1,Synpcc7942_0243,,329943.0,330086.0,+,S,-,"4.99.1.1,4.99.1.9",ko:K01772,"ko00860,ko01100,ko01110,map00860,map01100,map01110",M00121,"R00310,R11329",RC01012,"ko00000,ko00001,ko00002,ko01000",-,-,-,Chloroa_b-bind,,0.0,,,20
H6G84_RS06600,0.0847719516113347,WP_011243585.1,Synpcc7942_0240,,333123.0,333614.0,+,C,"GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0018298,GO:0019538,GO:0030076,GO:0030089,GO:0032991,GO:0034357,GO:0036211,GO:0042651,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0055114,GO:0071704,GO:0098796,GO:1901564",-,ko:K02095,"ko00196,ko01100,map00196,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Phycobilisome,,0.0,,,20
H6G84_RS06605,0.0707709257672945,WP_011243586.1,Synpcc7942_0239,,333775.0,334134.0,+,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009579,GO:0009987,GO:0015979,GO:0016491,GO:0020037,GO:0022900,GO:0031977,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044436,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0055114,GO:0097159,GO:1901363",-,ko:K08906,"ko00195,map00195",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Cytochrome_CBB3,,0.0,,,20
H6G84_RS08115,-0.0598284602566902,WP_011242497.1,Synpcc7942_1373,,20747.0,21442.0,+,O,-,-,ko:K03192,-,-,-,-,ko00000,-,-,-,HupE_UreJ,,0.0,,,20
H6G84_RS08215,0.0697635582430818,WP_231621308.1,Synpcc7942_1353,,48649.0,49374.0,-,S,-,-,-,-,-,-,-,-,-,-,-,DUF3120,,0.0,,,20
H6G84_RS08430,0.0550882917571599,WP_199290636.1,Synpcc7942_1310,cmpR,96682.0,97638.0,-,K,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K21703,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_1,LysR_substrate","Transcription factor, LysR family contains 1 HTH_1,1 LysR_substrate",1.0,HTH_1,,20
H6G84_RS08625,0.0599795921202339,WP_011242595.1,Synpcc7942_1271,,138554.0,139291.0,+,M,-,-,-,-,-,-,-,-,-,-,-,Glyco_transf_8,,0.0,,,20
H6G84_RS08630,0.1023958439289837,WP_039755725.1,Synpcc7942_1270,,139304.0,139510.0,-,S,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,,0.0,,,20
H6G84_RS08685,0.1166226849407596,WP_011377940.1,Synpcc7942_1259,,151558.0,152736.0,-,P,-,3.6.3.16,ko:K01551,-,-,-,-,"ko00000,ko01000,ko02000","3.A.19.1,3.A.21.1,3.A.4.1",-,-,ArsA_ATPase,,0.0,,,20
H6G84_RS08785,0.0716105628782617,WP_011242624.1,Synpcc7942_1240,,169928.0,171466.0,+,C,"GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016661,GO:0016664,GO:0020037,GO:0042126,GO:0042128,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044281,GO:0046872,GO:0046906,GO:0048037,GO:0048307,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704,GO:0071941,GO:0097159,GO:0098809,GO:1901363,GO:2001057",1.7.7.1,ko:K00366,"ko00910,ko01120,map00910,map01120",M00531,R00790,RC00176,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2,NIR_SIR,NIR_SIR_ferr",,0.0,,,20
H6G84_RS09575,0.1093846537751895,WP_011242771.1,Synpcc7942_1090,,326455.0,327252.0,+,S,-,-,-,-,-,-,-,-,-,-,-,TPM_phosphatase,,0.0,,,20
H6G84_RS10170,-0.0568899776903723,WP_039755781.1,Synpcc7942_0971,,455576.0,456826.0,+,S,-,-,ko:K09942,-,-,-,-,ko00000,-,-,-,"DUF4912,Rho_N",,0.0,,,20
H6G84_RS10315,0.0718373203088379,WP_011242912.1,Synpcc7942_0942,ftsH2,484880.0,486772.0,+,O,"GO:0000166,GO:0003674,GO:0003824,GO:0004175,GO:0004176,GO:0004222,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009579,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0030554,GO:0031224,GO:0031323,GO:0031324,GO:0032553,GO:0032555,GO:0032559,GO:0034357,GO:0035639,GO:0036094,GO:0042548,GO:0042623,GO:0042651,GO:0043155,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1905156",-,ko:K03798,-,M00742,-,-,"ko00000,ko00002,ko01000,ko01002,ko03110",-,-,-,"AAA,FtsH_ext,Peptidase_M41",,0.0,,,20
H6G84_RS10335,0.0604188580633278,WP_011377799.1,Synpcc7942_0938,,490189.0,490509.0,-,K,-,-,-,-,-,-,-,-,-,-,-,HTH_5,"Transcription factor, ArsR family contains 1 HTH_5",1.0,HTH_5,,20
H6G84_RS10500,-0.0527442562126777,WP_011377785.1,Synpcc7942_0907,,517563.0,517775.0,-,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS10535,0.0692547684399381,WP_011242952.1,Synpcc7942_0900,,525086.0,525289.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF4278,,0.0,,,20
H6G84_RS11030,0.1287163743328077,WP_011378049.1,Synpcc7942_1478,,95442.0,95879.0,-,C,"GO:0003674,GO:0003824,GO:0005488,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009987,GO:0015979,GO:0016491,GO:0020037,GO:0022900,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0046906,GO:0048037,GO:0055114,GO:0097159,GO:1901363",-,-,-,-,-,-,-,-,-,-,"Cytochrom_C,Cytochrome_CBB3",,0.0,,,20
H6G84_RS11425,0.0606547308023366,WP_039755693.1,,,179628.0,179813.0,+,S,,,,,,,,,,,,,,,,,20
H6G84_RS12045,0.0639423705196991,WP_011377767.1,Synpcc7942_0859,,40872.0,43730.0,-,T,-,-,"ko:K06596,ko:K11526","ko02020,ko02025,map02020,map02025","M00507,M00508",-,-,"ko00000,ko00001,ko00002,ko01001,ko02022,ko02035",-,-,-,"CheW,H-kinase_dim,HATPase_c,Hpt,Response_reg",,1.0,,Others,20
H6G84_RS12050,0.0710329990292038,WP_011377766.1,Synpcc7942_0858,,43735.0,47955.0,-,T,-,-,"ko:K02660,ko:K11525","ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,"GAF,HAMP,MCPsignal,dCache_1",,,,,20
H6G84_RS12055,0.0665754205125057,WP_011242995.1,Synpcc7942_0857,,48027.0,48533.0,-,N,-,-,ko:K02659,"ko02020,ko02025,map02020,map02025",-,-,-,"ko00000,ko00001,ko02035,ko02044",-,-,-,CheW,,0.0,,,20
H6G84_RS12060,0.07637334643182,WP_011242996.1,Synpcc7942_0856,,48553.0,48915.0,-,T,-,-,ko:K02658,"ko02020,ko02025,map02020,map02025",M00507,-,-,"ko00000,ko00001,ko00002,ko02022,ko02035,ko02044",-,-,-,Response_reg,,0.0,,Others,20
H6G84_RS12065,0.0555563357139643,WP_231621330.1,Synpcc7942_0855,,48966.0,50192.0,-,T,-,-,ko:K02657,"ko02020,ko02025,map02020,map02025",M00507,-,-,"ko00000,ko00001,ko00002,ko02022,ko02035,ko02044",-,-,-,"DUF4388,Response_reg",,0.0,,Others,20
H6G84_RS12360,0.1552610781482219,WP_199290759.1,Synpcc7942_0798,ruvC,111077.0,111529.0,+,L,"GO:0000725,GO:0003674,GO:0003676,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008821,GO:0009058,GO:0009059,GO:0009987,GO:0016787,GO:0016788,GO:0016889,GO:0016894,GO:0031297,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045005,GO:0046483,GO:0046872,GO:0048476,GO:0050896,GO:0051716,GO:0071704,GO:0071932,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363,GO:1901576",3.1.22.4,ko:K01159,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,RuvC,,0.0,,,20
H6G84_RS12365,0.273704735551852,WP_011377733.1,Synpcc7942_0797,,111578.0,111838.0,-,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS13715,0.0593690459741441,WP_040113188.1,Synpcc7942_B2660,,37775.0,38002.0,+,S,,,,,,,,,,,,,,0.0,,,20
H6G84_RS11015,0.3467447244079524,WP_199290742.1,Synpcc7942_1475,,90860.0,91957.0,-,S,-,-,ko:K07086,-,-,-,-,ko00000,-,-,-,Sbt_1,,0.0,,,21
